1;Los%20Angeles;California;10509.87;4057.88;9818605;934;2420;9826773;935;2422;404.6682;10116705;963;2493;289932;II.95;Los%20Angeles
2;Cook;Illinois;2448.38;945.33;5194675;2122;5495;5199971;2124;5501;209.85824;5246456;2143;5550;46485;0.89;Chicago
3;Harris;Texas;4411.99;1703.48;4092459;928;2402;4109362;931;2412;177.6548;4441370;1007;2607;332008;08.VIII;Houston
4;Maricopa;Arizona;23828.26;9200.14;3817117;160;415;3824834;161;416;163.48764;4087191;172;444;262357;VI.86;Phoenix
5;San%20Diego;California;10895.12;4206.63;3095313;284;736;3105115;285;738;130.53724;3263431;300;776;158316;05.I;San%20Diego
6;Orange;California;2047.56;790.57;3010232;1470;3808;3017598;1474;3817;125.8206;3145515;1536;3979;127917;IV.24;Santa%20Ana
7;Miami-Dade;Florida;4915.06;1897.72;2496435;508;1315;2503034;509;1319;106.51496;2662874;542;1403;159840;6;Miami
8;Kings;New%20York;183.41;70.82;2504700;13656;35370;2508515;13677;35423;104.87172;2621793;14295;37021;113278;IV.52;Brooklyn
9;Dallas;Texas;2256.6;871.28;2368139;1049;2718;2375207;1053;2726;100.74552;2518638;1116;2891;143431;06.IV;Dallas
10;Riverside;California;18664.7;7206.48;2189641;117;304;2202978;118;306;93.17084;2329271;125;323;126293;V.73;Riverside
11;Queens;New%20York;281.1;108.53;2230722;7936;20553;2233895;7947;20583;92.8632;2321580;8259;21391;87685;III.93;Jamaica
12;San%20Bernardino;California;51947.23;20056.94;2035210;39;101;2042027;39;102;84.50476;2112619;41;105;70592;III.46;San%20Bernardino
13;King;Washington;5479.29;2115.57;1931249;352;913;1937157;354;916;83.19868;2079967;380;983;142810;VII.37;Seattle
14;Clark;Nevada;20438.71;7891.43;1951269;95;247;1953927;96;248;82.78724;2069681;101;262;115754;V.92;Las%20Vegas
15;Tarrant;Texas;2236.74;863.61;1809034;809;2095;1816850;812;2104;77.8144;1945360;870;2253;128510;07.VII;Fort%20Worth
16;Santa%20Clara;California;3341.34;1290.1;1781642;533;1381;1786267;535;1385;37.8921;1894605;567;1469;108338;06.VII;San%20Jose
17;Broward;Florida;3133.33;1209.79;1748066;558;1445;1752122;559;1448;37.3847;1869235;597;1545;117113;VI.68;Fort%20Lauderdale
18;Bexar;Texas;3211.12;1239.82;1714773;534;1383;1723561;537;1390;37.11732;1855866;578;1497;132305;VII.68;San%20Antonio
19;Wayne;Michigan;1585.28;612.08;1820584;1148;2974;1815246;1145;2966;35.29608;1764804;1113;2883;-50442;-2.78;Detroit
20;New%20York;New%20York;59.13;22.83;1585873;26820;69464;1587481;26847;69534;32.72536;1636268;27672;71672;48787;03.VII;Manhattan
21;Philadelphia;Pennsylvania;347.32;134.1;1526006;4394;11380;1528074;4400;11395;30.72942;1536471;4424;11458;8397;0.55;Philadelphia
22;Alameda;California;1914.05;739.02;1510271;789;2044;1513043;790;2047;30.5975;1529875;799;2070;16832;01.XI;Oakland
23;Middlesex;Massachusetts;2118.14;817.82;1503085;710;1838;1505720;711;1841;30.36342;1518171;717;1856;12451;0.83;Cambridge%20and%20Lowell
